,$,フリガナ,フリガナ2,属性ラベル,,,Word,フリガナ,フリガナ2,属性ラベル
,,,,,,,デリーズト,デリーズト,,組織名
,,,,,,,アドバンストメディア,アドバンストメディア,,組織名
,,,,,,,株式会社タクト,カブシキガイシャタクト,,組織名
,,,,,,,プルチックの感情の輪,プルチックノカンジョウノワ,,その他
,,,,,,,石川,イシカワ,,人名
,,,,,,,LB,エルビー,,その他
,,,,,,,JMeter,ジェイエムエーター,,製品名
,,,,,,,EKS,イーケーエス,,製品名
,,,,,,,DAZN,ダゾーン,,その他
,,,,,,,A.L.I.,エーエルアイ,エイエルアイ,組織名
,,,,,,,新庄,シンジョウ,,人名
,,,,,,,エアロダイン,エアロダイン,,組織名
,,,,,,,Sansan,サンサン,,製品名
,,,,,,,h1,エイチワン,,その他
,,,,,,,h2,エイチツー,,その他
,,,,,,,h3,エイチスリー,,その他
,,,,,,,h4,エイチフォー,,その他
,,,,,,,li,エルアイ,,その他
,,,,,,,美幸,ミユキ,,人名
,,,,,,,三島,ミシマ,,人名
,,,,,,,太客,フトキャク,,その他
,,,,,,,JR,ジェイアール,ジェーアール,組織名
,,,,,,,リカーリング,リカーリング,,その他
,,,,,,,ワンショット,ワンショット,,その他
,,,,,,,鹿野,シカノ,,人名
,,,,,,,宋,ソウ,,人名
,,,,,,,山廣,ヤマヒロ,,人名
,,,,,,,DEFENDER-X,ディフェンダーエックス,,製品名
,,,,,,,藤原竜也,フジワラタツヤ,,人名
,,,,,,,綾野剛,アヤノゴウ,,人名
,,,,,,,ガーシー,ガーシー,,人名
,,,,,,,中村蒼,ナカムラアオイ,,人名
,,,,,,,松重豊,マツシゲユタカ,,人名
,,,,,,,レックステイト,レックステイト,,組織名
,,,,,,,沼,ヌマ,,人名
,,,,,,,Pixel,ピクセル,,製品名
,,,,,,,Azure,アジュール,,その他
,,,,,,,福森,フクモリ,,人名
,,,,,,,小塚,こづか,,人名
,,,,,,,dancyu,ダンチュウ,,その他
,,,,,,,かつき,カツキ,,人名
,,,,,,,リバレス,リバレス,,組織名
,,,,,,,IP Messenger,アイピーメッセンジャー,,製品名
,,,,,,,マツリカ,マツリカ,,組織名
,,,,,,,高木,タカギ,,人名
,,,,,,,森,モリ,,人名
,,,,,,,ドキュサイン,ドキュサイン,,製品名
,,,,,,,ブックオフ,ブックオフ,,組織名
,,,,,,,OneDrive,ワンドライブ,,製品名
,,,,,,,佐久間,サクマ,,人名
,,,,,,,船見,フナミ,,人名
,,,,,,,太田,オオタ,,人名
,,,,,,,林田,ハヤシダ,,人名
,,,,,,,鴻上,コウガミ,,人名
,,,,,,,リコージャパン,リコージャパン,,組織名
,,,,,,,Buddycom,バディコム,,製品名
,,,,,,,BONX,ボンクス,,製品名
,,,,,,,QOLead,キュオリード,,組織名
,,,,,,,富士通,フジツウ,,組織名
,,,,,,,テプラ,テプラ,,製品名
,,,,,,,アイスペック,アイスペック,,その他
,,,,,,,エアフロー,エアフロー,,その他
,,,,,,,グッドパッチ,グッドパッチ,,その他
,,,,,,,アダムスミス,アダムスミス,,人名
,,,,,,,IRC,アイアールシー,,その他
,,,,,,,ポッドキャスト,ポッドキャスト,,その他
,,,,,,,AGI,エージーアイ,,組織名
,,,,,,,西垣,ニシガキ,,人名
,,,,,,,Microsoft,マイクロソフト,,製品名
,,,,,,,Google Calender,グーグルカレンダー,,製品名
,,,,,,,OD,オーディー,,その他
,,,,,,,三菱UFJ銀行,ミツビシユーエフジェイギンコウ,,組織名
,,,,,,,Android,アンドロイド,,製品名
,,,,,,,iOS,アイオーエス,,製品名
,,,,,,,トグルスイッチ,トグルスイッチ,,製品名
,,,,,,,ラジオボタン,ラジオボタン,,その他
,,,,,,,riksak,リクサク,,製品名
,,,,,,,リクナビ,リクナビ,,製品名
,,,,,,,Web,ウェブ,ウエブ,製品名
,,,,,,,UX,ユーエックス,ユーザーエクスペリエンス,その他
,,,,,,,ギャラップ,ギャラップ,,その他
,,,,,,,まごころさん,マゴココロサン,,製品名
,,,,,,,大槌,オオツチ,,人名
,,,,,,,ookami,オオカミ,,組織名
,,,,,,,富士キメラ,フジキメラ,,組織名
,,,,,,,ブリオベッカ浦安,ブリオベッカウラヤス,,組織名
,,,,,,,CPaaS,シーパース,,その他
,,,,,,,セグメント,セグメント,,その他
,,,,,,,パワポ,パワポ,,製品名
,,,,,,,クックパッド,クックパッド,,組織名
,,,,,,,ソフトフロント,ソフトフロント,,組織名
,,,,,,,アシックス,アシックス,,組織名
,,,,,,,Pathfine,パスファイン,,組織名
,,,,,,,カゴメ,カゴメ,,組織名
,,,,,,,CT-e1,シーティーイーワン,,製品名
,,,,,,,小石川運動場,コイシカワウンドウジョウ,,地名
,,,,,,,世田谷公園,セタガヤコウエン,,地名
,,,,,,,CT-e1/SaaS,シーティーイーワン サーズ,シーティーイーワン サース,製品名
,,,,,,,大樹さん,タイキサン,,人名
,,,,,,,ソリューション,ソリューション,,その他
,,,,,,,阿部,アベ,,人名
,,,,,,,シーザース,シーザース,,製品名
,,,,,,,PaaS,パース,,その他
,,,,,,,aaS,エーエーエス,エイエイエス,その他
,,,,,,,arigatobank,アリガトバンク,,組織名
,,,,,,,お金贈り,オカネオクリ,,その他
,,,,,,,kifutown,キフタウン,,製品名
,,,,,,,武田薬品,タケダヤクヒン,,組織名
,,,,,,,武田さん,タケダサン,,人名
,,,,,,,IIBM,アイビーエム,,人名
,,,,,,,色相環,シキソウカン,,人名
,,,,,,,MR,エムアール,,その他
,,,,,,,IBT,アイビーティー,,製品名
,,,,,,,UI,ユーアイ,,その他
,,,,,,,CCP,シーシーピー,シーピー,その他
,,,,,,,MVP,エムブイピー,,人名
,,,,,,,Goodpatch,グッドパッチ,,組織名
,,,,,,,スクラムマスター,スクラムマスター,,その他
,,,,,,,AmiVoice Cloud Platform,アミボイス クラウド プラットフォーム,,製品名
,,,,,,,アジャイルコーチ,アジャイルコーチ,,その他
,,,,,,,alt,オルツ,,組織名
,,,,,,,Omnis,オムニス,,製品名
,,,,,,,AITalk,エーアイトーク,エイアイトーク,製品名
,,,,,,,Lambda,ラムダ,,その他
,,,,,,,ムラコシ,ムラコシ,,人名
,,,,,,,ミツイシ,ミツイシ,,人名
,,,,,,,ササハラ,ササハラ,,人名
,,,,,,,本田圭佑,ホンダケイスケ,,人名
,,,,,,,CoachEd,コーチェット,,その他
,,,,,,,ODC,オーディーシー,,製品名
,,,,,,,ヘルシー・スポーツ建設株式会社,ヘルシー・スポーツケンセツカブシキガイシャ,,人名
,,,,,,,春山さん,ハルヤマサン,,人名
,,,,,,,森山南,モリヤマミナミ,,人名
,,,,,,,村田綾乃,ムラタアヤノ,,人名
,,,,,,,小川恵子,オガワケイコ,,人名
,,,,,,,Player!,プレイヤー,,その他
,,,,,,,田中優実,タナカユウミ,,人名
,,,,,,,佐藤麗奈,サトウレナ,,人名
,,,,,,,原沙織,ハラサオリ,,人名
,,,,,,,斎藤愛花,サイトウアイカ,,人名
,,,,,,,久良,クラ,,人名
,,,,,,,OSHIМAX!,オーシマックス,,組織名
,,,,,,,ECOB,イーシーオービー,,製品名
,,,,,,,YAＭAP,ヤマップ,,製品名
,,,,,,,青森山田高校,アオモリヤマダコウコウ,,組織名
,,,,,,,前橋育英高校,マエバシイクエイコウコウ,,組織名
,,,,,,,ナスくる,ナスクル,,製品名
,,,,,,,寺内,テラウチ,,人名
,,,,,,,Amazon Transcribe,アマゾントランスクライブ,,製品名
,,,,,,,のんちゃん,ノンチャン,,人名
,,,,,,,NON STYLE,ノンスタイル,,人名
,,,,,,,Avengers,アベンジャーズ,,製品名
,,,,,,,ファイナル・テーブル,ファイナルテーブル,,製品名
,,,,,,,恵子さん,ケイコサン,,人名
,,,,,,,玲奈さん,レイナサン,,人名
,,,,,,,由美さん,ユミサン,,人名
,,,,,,,くらはしさん,クラハシサン,,人名
,,,,,,,ローヴァーズ木更津,ローヴァーズキサラヅ,,組織名
,,,,,,,ONE PIECE,ワンピース,,製品名
,,,,,,,コンフィデンスマンJP,コンフィデンスマンジェーピー,,製品名
,,,,,,,SHIBUYA  CITY FC,シブヤシティーエフシー,,組織名
,,,,,,,ARAWORE　HACHIOJI,アローレ八王子,,組織名
,,,,,,,東京フットボール,トウキョウフットボール,,組織名
,,,,,,,流山ＦＣ,ナガレヤマエフシー,,組織名
,,,,,,,NFT,エヌエフティ―,,製品名
,,,,,,,世界線,セカイセン,,その他
,,,,,,,ソフトランディング,ソフトランディング,,その他
,,,,,,,NHK,エヌエイチケー,,組織名
,,,,,,,AX,エーエックス,,その他
,,,,,,,Netflix,ネットフリックス,,組織名
,,,,,,,GW,ゴールデンウイーク,,その他
,,,,,,,ホリエモン,ホリエモン,,人名
,,,,,,,IT土方,アイティードカタ,,その他
,,,,,,, ZION FC,ザイオンエフシー,,組織名
,,,,,,,YouTube,ユーチューブ,,製品名
,,,,,,,JCC,ジェイシーシー,,組織名
,,,,,,,東進,トウシン,,組織名
,,,,,,,ダンススクールカーネリアン,ダンススクールカーネリアン,,組織名
,,,,,,,cotree,ココトリー,コトリー,組織名
,,,,,,,SmartThanks,スマートサンクス,,その他
,,,,,,,J-KISS,ジェイキス,,その他
,,,,,,,OB,オービー,,組織名
,,,,,,,HIKAKIN,ヒカキン,,人名
,,,,,,,win-win,ウィンウィン,,その他
,,,,,,,LINE Pay,ラインペイ,,その他
,,,,,,,PayPay,ペイペイ,,その他
,,,,,,,LINEギフト,ラインギフト,,その他
,,,,,,,スタバカード,スタバカード,,製品名
,,,,,,,一蘭,イチラン,,その他
,,,,,,,日立財団,ヒヒタチザイダン,,組織名
,,,,,,,スタバ,スタバ,,組織名
,,,,,,, 3rd Class,サードクラス,,その他
,,,,,,,Goldman,ゴールドマン,,その他
,,,,,,,Goldman Sachs,ゴールドマンサックス,,組織名
,,,,,,,SDGs,エスディジーズ,,その他
,,,,,,,JC,ジェイシー,,組織名
,,,,,,,FUNDINNO,ファンディーノ,,組織名
,,,,,,,Facilitation,ファシリテーション,,その他
,,,,,,,ファシリテーター,ファシリテーター,,その他
,,,,,,,ファシリテーションガイド,ファシリテーションガイド,,
,,,,,,,村越,ムラコシ,,人名
,,,,,,,あきら,アキラ,,人名
,,,,,,,叡知,エイチ,,組織名
,,,,,,,クリアソン新宿,クリアソン,,組織名
,,,,,,,TOKYO 2020 FC,トウキョウニーゼロニーゼロエフシー,,組織名
,,,,,,,HBO東京,エイチビーオートウキョウ,,組織名
,,,,,,,Saitama east SV,サイタマイーストエスブイ,,組織名
,,,,,,,鹿島アントラーズ,カシマアントラーズ,,組織名
,,,,,,,博報堂,ハクホウドウ,,組織名
,,,,,,,小野田,,,
,,,,,,,講談社,コウダンシャ,,組織名
,,,,,,,小石川高校,コイシカワコウコウ,,組織名
,,,,,,,都築,ツヅキ,,組織名
,,,,,,,オンプレ,オンプレ,,その他
,,,,,,,グロービス,グロービス,,組織名
,,,,,,,都築電気,ツヅキデンキ,,組織名
,,,,,,,ABCクッキング,エービーシークッキング,,組織名
,,,,,,,RIZAP,ライザップ,,組織名
,,,,,,,経常,ケイツネ,,その他
,,,,,,,mento,メント,,組織名
,,,,,,,on-premise,オンプレミス,,その他
,,,,,,,BIZTEL,ビズテル,,組織名
,,,,,,,自己決定理論,ジコケッテイリロン,,その他
,,,,,,,時間対効果,ジカンタイコウカ,,その他
,,,,,,,ダイナミクス,ダイナミクス,,その他
,,,,,,,YOGA,ヨガ,,その他
,,,,,,,MKI,エムケーアイ,エムケイアイ,組織名
,,,,,,,CTC,シーティーシー,,組織名
,,,,,,,NTTBS,エヌティーティービーエス,,組織名
,,,,,,,SCSK,エスシーエスケー,エスシーエスケイ,組織名
,,,,,,,クラウドGoGoGo,クラウドゴーゴーゴー,,その他
,,,,,,,RemoTEL,リモテル,,製品名
,,,,,,,ミヤザワ,ミヤザワ,,人名
,,,,,,,マイクアレイ,マイクアレイ,,製品名
,,,,,,,マイクデバイス,マイクデバイス,,製品名
,,,,,,,カトウ,カトウ,,人名
,,,,,,,ハマハラ,ハマハラ,,人名
,,,,,,,オトグロ,オトグロ,,人名
,,,,,,,渡邊,ワタナベ,,人名
,,,,,,,アントレプレナー,アントレプレナー,,その他
,,,,,,,tech,テック,,その他
,,,,,,,エムラボ,エムラボ,,組織名
,,,,,,,BtoB,ビートゥービ,,その他
,,,,,,,葵さん,アオイサン,,人名
,,,,,,,GAFA,ガーファ,,その他
,,,,,,,WORLD SCAN PROJECT,ワールドスキャンプロジェクト,,組織名
,,,,,,,ドローンネット,ドローンネット,,組織名
,,,,,,,プラスアルファ,プラスアルファ,,その他
,,,,,,,アセスメント,アセスメント,,その他
,,,,,,,オリックス,オリックス,,組織名
,,,,,,,千葉ロッテマリーンズ,チバロッテマリーンズ,,組織名
,,,,,,,ミリョプラ,ミリョプラ,,製品名
,,,,,,,NOVA,ノヴァ,,組織名
,,,,,,,FC東京,エフシートウキョウ,,組織名
,,,,,,,メタ認知,メタニンチ,,その他
,,,,,,,サブスク,サブスク,,その他
,,,,,,,ライフチャート,ライフチャート,,その他
,,,,,,,カタルシス,カタルシス,,その他
,,,,,,,島野耕平,シマノコーへー,,人名
,,,,,,,メルティン,メルティン,,組織名
,,,,,,,粕谷君,カスヤクン,,人名
,,,,,,,MAKERS UNIVERSITY,メイカーズユニバーシティ,,組織名
,,,,,,,NIT,エヌアイティ,エヌアイティ―,組織名
,,,,,,,N中等部,エヌチュートーブ,,組織名
,,,,,,,NTT,エヌティーティー,,組織名
,,,,,,,Nippon Life X,ニッポンライフエックス,,組織名
,,,,,,,日本生命,二ホンセイメイ,ニッポンセイメイ,組織名
,,,,,,,日生情報テクノロジー,ニッセイジョウホウテクノロジー,,組織名
,,,,,,,BIO,ビーアイオー,,その他
,,,,,,,愛華さん,アイカサン,,人名
,,,,,,,RI,アールアイ,,その他
,,,,,,,裕子さん,ユウコサン,,人名
,,,,,,,沙織さん,サオリサン,,人名
,,,,,,,Twitter,ツイッター,,その他
,,,,,,,RY,アールワイ,,その他
,,,,,,,もんちゃん,モンチャン,,人名
,,,,,,,OB会,オービーカイ,,組織名
,,,,,,,前育,マエイク,,組織名
,,,,,,,凸版印刷,トッパンインサツ,,組織名
,,,,,,,真理さん,マリサン,,人名
,,,,,,,CMS,シーエムエス,,その他
,,,,,,,CX,シーエックス,,その他
,,,,,,,Miro,ミロ,,製品名
,,,,,,,Backlog,バッグログ,,製品名
,,,,,,,結城さん,ユウキサン,,人名
,,,,,,,WBS,ダブルビーエス,ダブリュービーエス,その他
,,,,,,,WPS,ダブルピーエス,,製品名
,,,,,,,NEC,エヌイーシー,,組織名
,,,,,,,JRI,ジェイアールアイ,,組織名
,,,,,,,けんせい,ケンセイ,,人名
,,,,,,,設楽さん,シダラサン,,人名
,,,,,,,相川さん,アイカワサン,,人名
,,,,,,,しらさん,シラサン,,人名
,,,,,,,ルノアール,ルノアール,,組織名
,,,,,,,シフトベースレコーダ,シフトベースレコーダ,,製品名
,,,,,,,bot,ボット,,その他
,,,,,,,Google Chrome,グーグルクローム,,その他
,,,,,,,クシダ,クシダ,,人名
,,,,,,,木村さん,キムラサン,,人名
,,,,,,,中野さん,ナカノサン,,人名
,,,,,,,Podcast,ポッドキャスト,,その他
,,,,,,,ホワイトレーベル,ホワイトレーベル,,製品名
,,,,,,,IVSC,アイブイエスシー,,その他
,,,,,,,翔,ショウ,,人名
,,,,,,,東電ホールディングス,トウデンホールディングス,,組織名
,,,,,,,尾瀬山荘,オゼサンソウ,,その他
,,,,,,,tofuNFT,トウフエヌエフティ―,トウフ,その他
,,,,,,,ウォレット,ウォレット,,その他
,,,,,,,MetaMask,メタマスク,,その他
,,,,,,,Mint,ミント,,その他
,,,,,,,Shiftbase,シフトベース,,その他
,,,,,,,Markdown,マークダウン,,その他
,,,,,,,望月さん,モチヅキサン,,人名
,,,,,,,HTML,エイチティーエムエル,,その他
,,,,,,,ピアボーナス,ピアボーナス,,その他
,,,,,,,br,ブレーク,ビーアール,その他
,,,,,,,CAMPFIRE,キャンプファイヤー,,その他
,,,,,,,Web2.0,ウェブツー,ウェブニーテンゼロ,その他
,,,,,,,ハイアービュー,ハイアービュー,,製品名
,,,,,,,トークン,トークン,,その他
,,,,,,,CVC,コーポレート ベンチャー キャピタル,シーブイシー,その他
,,,,,,,ヨウキニストさん,ヨウキニストサン,,人名
,,,,,,,純也さん,ジュンヤサン,,人名
,,,,,,,フロンター,フロンター,,その他
,,,,,,,Etherscan,イーサスキャン,,その他
,,,,,,,ASTR,アスター,,その他
,,,,,,,ブロックスカウト,ブロックスカウト,,その他
,,,,,,,吉富,ヨシトミ,,人名
,,,,,,,日生,ニッセイ,,組織名
,,,,,,,メルカリ,メルカリ,,組織名
,,,,,,,アフェクティブコンピューティング,アフェクティブコンピューティング,,その他
,,,,,,,はじめ,ハジメ,,人名
,,,,,,,けんじょう,ケンジョウ,,人名
,,,,,,,サカノ,サカノ,,人名
,,,,,,,カンダ,カンダ,,人名
,,,,,,,クボ,クボ,,人名
,,,,,,,カナイ,カナイ,,人名
,,,,,,,ハシダ,ハシダ,,人名
,,,,,,,ユニクロ,ユニクロ,,組織名
,,,,,,,ゼロアドレス,ゼロアドレス,,その他
,,,,,,,Sputniko!,スプニツコ,,人名
,,,,,,,CNS,シーエヌエス,,その他
,,,,,,,新しい経済,アタラシイケイザイ,,組織名
,,,,,,,Telegram,テレグラム,,その他
,,,,,,,Astar Cats,アスターキャッツ,,その他
,,,,,,,Open Sea,オープンシー,,その他
,,,,,,,BYAC,ビーワイエーシー,,その他
,,,,,,,BTC,ビーティ―シー,,その他
,,,,,,,ビットコイン,ビットコイン,,その他
,,,,,,,AAPL,エーエーピーエル,,その他
,,,,,,,羽田,ハネダ,,地名
,,,,,,,HDA,エイチディーエー,,その他
,,,,,,,イーサリアム,イーサリアム,,その他
,,,,,,,IPNS,アイピーエヌエス,,その他
,,,,,,,SI,エスアイ,,その他
,,,,,,,CXaaS,シーザース,,製品名
,,,,,,, Excel,エクセル,,製品名
,,,,,,,ラスタースキャン,ラスタースキャン,,その他
,,,,,,,JSONファイル,ジェイソンファイル,ジェーソンファイル,その他
,,,,,,,URI,ユーアールアイ,,その他
,,,,,,,DVD,ディーブイディー,,製品名
,,,,,,,Asterisk,アスタリスク,,製品名
,,,,,,,MMetadate,メタデータ,,その他
,,,,,,,バイトコード,バイトコード,,その他
,,,,,,,マーケットプレイス,マーケットプレイス,,その他
,,,,,,,BCP,ビーシーピー,,その他
,,,,,,,沼崎さん,ヌマザキサン,,人名
,,,,,,,スコラ・コンサルト,スコラコンサルト,,組織名
,,,,,,,Twilio,トゥイリオ,,製品名
,,,,,,,楽天,ラクテン,,組織名
,,,,,,,BlueBean,ブルービーン,,製品名
,,,,,,,アルガ,アルガ,,人名
,,,,,,,ミヤザキ,ミヤザキ,,人名
,,,,,,,土井さん,ドイサン,,人名
,,,,,,,牧島さん,マキシマさん,,人名
,,,,,,,浮島さん,ウキシマさん,,人名
,,,,,,,コセキ,コセキ,,人名
,,,,,,,イシイ,イシイ,,人名
,,,,,,,大丸,ダイマル,,組織名
,,,,,,,鳥取大丸,トットリダイマル,,組織名
,,,,,,,JA,ジェイエー,,組織名
,,,,,,,日産,ニッサン,,組織名
,,,,,,,ダイハツ,ダイハツ,,組織名
,,,,,,,パーパース,パーパース,,製品名
,,,,,,,JFR,ジェーエフアール,,組織名
,,,,,,,Jフロントリテイリング,ジェイフロントリテイリング,,組織名
,,,,,,,下垣さん,シシモガキサン,,人名
,,,,,,,今野さん,コンノサン,,人名
,,,,,,,大西さん,オオニシサン,,人名
,,,,,,,東京大丸,トウキョウダイマル,,組織名
,,,,,,,子ども食堂,コドモショクドウ,,その他
,,,,,,,ノートン,ノートン,,製品名
,,,,,,,佐藤,サトウ,,人名
,,,,,,,シフトベース,シフトベース,,その他
,,,,,,,AU,エーユー,,組織名
,,,,,,,ディアログ,ディアログ,,その他
,,,,,,,コンバージョン,コンバージョン,,その他
,,,,,,,信也さん,シンヤサン,,人名
,,,,,,,ヤマト,ヤマト,,組織名
,,,,,,,富士ソフト,フジソフト,,組織名
,,,,,,,フロントエンド,フロントエンド,,その他
,,,,,,,バーセル,バーセル,,その他
,,,,,,,幻冬舎,ゲントウシャ,,組織名
,,,,,,,Git,ギット,ギットー,その他
,,,,,,,ロリポップ,ロリポップ,,その他
,,,,,,,井保木さん,イホギサン,,人名
,,,,,,,細谷さん,ホソヤサン,,人名
,,,,,,,海浜幕張,カイヒンマクハリ,,地名
,,,,,,,成瀬さん,ナルセサン,,人名
,,,,,,,水木さん,ミズキサン,,人名
,,,,,,,望月,モチヅキ,,人名
,,,,,,,ABEMA,アベマ,,その他
,,,,,,,天王山,テンノウザン,,地名
,,,,,,,商工中金,ショウコウチュウキン,,組織名
,,,,,,,野口さん,ノグチサン,,人名
,,,,,,,片山さん,カタヤマサン,,人名
,,,,,,,高野さん,タカノサン,,人名
,,,,,,,ヤマカン,ヤマカン,,組織名
,,,,,,,IDS,アイディーエス,,組織名
,,,,,,,須山さん,スヤマサン,,人名
,,,,,,,加藤さん,カトウサン,,人名
,,,,,,,鈴木さん,スズキサン,,人名
,,,,,,,デスポノーズ,デスポノーズ,,その他
,,,,,,,吉田設計,ヨシダセッケイ,,組織名
,,,,,,,袋井市,フクロイシ,,地名
,,,,,,,マテハン,マテハン,,その他
,,,,,,,モリショウ,モリショウ,,組織名
,,,,,,,塚本さん,ツカモトサン,,人名
,,,,,,,マルメイ,マルメイ,,組織名
,,,,,,,椋野さん,ムクノサン,,人名
,,,,,,,ボイラー,ボイラー,,その他
,,,,,,,タービン,タービン,,その他
,,,,,,,BRIDGITAL®,ブリジタル,,その他
,,,,,,,鈴木工務店,スズキコウムテン,,組織名
,,,,,,,姫野さん,ヒメノサン,,人名
,,,,,,,メットライフ生命,メットライフセーメー,,組織名
,,,,,,,向野さん,ムコノサン,,人名
,,,,,,,パーパス,パーパス,,その他
,,,,,,,羽鳥沢さん,ハトリサワサン,,人名
,,,,,,,近藤さん,コンドウサン,,人名
,,,,,,,LINE WORKS,ラインワークス,,その他
,,,,,,,寺部さん,テラベサン,,人名
,,,,,,,サスティナビリティ,サスティナビリティ,,その他
,,,,,,,百田,モモタサン,,人名
,,,,,,,ヒューマンメディアカンパニー,ヒューマンメディアカンパニー,,組織名
,,,,,,,ティーガイア,ティーガイア,,組織名
,,,,,,,サンド,サンド,,組織名
,,,,,,,シャプロ,シャプロ,,組織名
,,,,,,,SEO,エスイーオー,,その他
,,,,,,,BtoC,ビートゥシー,ビートゥーシー,その他
,,,,,,,株式会社新潟ジャムコ,カブシキガイシャニイガタジャムコ,,組織名
,,,,,,,公益通報者保護法,コウエキツウホウシャホゴホウ,,その他
,,,,,,,オウンドメディア,オウンドメディア,,その他
,,,,,,,株式会社ジャムコ,カブシキガイシャジャムコ,,組織名
,,,,,,,中条ジャムコ,ナカジョージャムコ,,組織名
,,,,,,,オンボーディング,オンボーディング,,その他
,,,,,,,全英オープン,ゼンエイオープン,,その他
,,,,,,,デジタルツイン,デジタルツイン,,その他
,,,,,,,ボーイング,ボーイング,,組織名
,,,,,,,AIG女子オープン,エーアイジージョシオープン,,その他
,,,,,,,カヤバ,カヤバ,,組織名
,,,,,,,PDRファーま,ピーディーアールファーマ,,組織名
,,,,,,,中山さん,ナカヤマサン,,人名
,,,,,,,ベイスターズ,ベイスターズ,,組織名
,,,,,,,横浜ベイスターズ,ヨコハマベイスターズ,,組織名
,,,,,,,伴さん,バンサン,,人名
,,,,,,,大倉さん,オオクラサン,,人名
,,,,,,,クリックツーコール,クリックツーコール,,その他
,,,,,,,docomo,ドコモ,,組織名
,,,,,,,スマホ,スマホ,,その他
,,,,,,,アイ・オー・データ,アイ・オー・データ,,組織名
,,,,,,,てれたっち,テレタッチ,,製品名
,,,,,,,電帳法,デンチョーホー,デンチョウホウ,その他
,,,,,,,DX2.0,ディーエックスツー,,その他
,,,,,,,2030PROJECT,ニセンサンジューネンプロジェクト,ニーゼロサンゼロプロジェクト,
,,,,,,,スマートフォン,スマートフォン,,その他
,,,,,,,ガラケー,ガラケー,,その他
,,,,,,,iPhone,アイフォン,アイフォーン,製品名
,,,,,,,土竜さん,モグラサン,,人名
,,,,,,,寺井さん,テライサン,,人名
,,,,,,,立川さん,タチカワサン,,人名
,,,,,,,唯ちゃん,ユイチャン,,人名
,,,,,,,吉岡さん,ヨシオカサン,,人名
,,,,,,,ウシガエル,ウシガエル,,その他
,,,,,,,アマガエル,アマガエル,,その他
,,,,,,,加須山さん,カスヤマサン,,人名
,,,,,,,寺山さん,テラウチサン,,人名
,,,,,,,生田さん,イクタサン,,人名
,,,,,,,TDC,ティーディーシー,,組織名
,,,,,,,富士ゼロックス,フジゼロックス,,組織名
,,,,,,,山門さん,ヤマカドサン,,人名
,,,,,,,田辺さん,タナベサン,,人名
,,,,,,,勝山さん,カツヤマサン,,人名
,,,,,,,Sensitivity Analysis,センシティビリティアナリシス,,その他
,,,,,,,タモさん,タモサン,,人名
,,,,,,,TDCソフト,ティーディーシーソフト,,組織名
,,,,,,,蓑手さん,ミノデサン,,人名
,,,,,,,寺木さん,デラキさん,,人名
,,,,,,,フォレストエナジー,フォレストエナジー,,組織名
,,,,,,,Share Point,シェアポイント,,その他
,,,,,,,トレロ,トレロ,,その他
,,,,,,,Udemy,ユーデミー,,その他
,,,,,,,ISID,アイエスアイディー,,組織名
,,,,,,,CAPEX,キャペックス,,その他
,,,,,,,IR,アイアール,,その他
,,,,,,,PIRR,ピーアイアールアール,,
,,,,,,,Dr.Sum,ドクターサム,,その他
,,,,,,,SMP,エスエムピー,,その他
,,,,,,,アルプスアルパイン,アルプスアルパイン,,組織名
,,,,,,,ALSI,アルシー,,その他
,,,,,,,Anaplan,アナプラン,,組織名
,,,,,,,三菱重工,ミツビシジューコー,,組織名
,,,,,,,川崎重工,カワサキジューコー,,組織名
,,,,,,,SUBARU,スバル,,組織名
,,,,,,,住友精密工業,スミトモセイミツコーギョー,,組織名
,,,,,,,横浜ゴム,ヨコハマゴム,,組織名
,,,,,,,TDB,ティーディービー,テイコクデータバンク,組織名
,,,,,,,神奈川県庁,カナガワケンチョウ,,組織名
,,,,,,,日本セレモニー,二ホンセレモニー,,組織名
,,,,,,,エアバス社,エアバスシャ,,組織名
,,,,,,,フジミック,フジミック,,組織名
,,,,,,,フィリピン,フィリピン,,地名
,,,,,,,シンガポール,シンガポール,,地名
,,,,,,,ドコモショップ町田忠生店,ドコモショップマチダタダオテン,,組織名
,,,,,,,医療法人社団天紀会,イリョウホウジンシャダンテンキカイ,,組織名
,,,,,,,株式会社メディヴァ,カブシキガイシャメディヴァ,,組織名
,,,,,,,MNP,エムエヌピー,,その他
,,,,,,,松島さん,マツシマサン,,人名
,,,,,,,斎藤さん,サイトウサン,,人名
,,,,,,,宮沢さん,ミヤザワサン,,人名
,,,,,,,MDM,エムディーエム,,その他
,,,,,,,UNIVERGE,ユニバージュ,,製品名
,,,,,,,SST500,エスティーゴヒャク,,その他
,,,,,,,宮崎ジャムコ,ミヤザキジャムコ,,組織名
,,,,,,,国交省,コッコーショー,,組織名
,,,,,,,TP-Link,ティーピーリンク,,その他
,,,,,,,バッファロー,バッファロー,,製品名
,,,,,,,LAN,ラン,,その他
,,,,,,,テクマトリックス,テトラマックス,,組織名
,,,,,,,FastHelp,ファーストヘルプ,,製品名
,,,,,,,Fastシリーズ,ファーストシリーズ,,製品名
,,,,,,,アルケル,アルケル,,組織名
,,,,,,,日経ムック,ニッケイムック,,製品名
,,,,,,,大阪大学,オオサカダイガク,,組織名
,,,,,,,マッキンゼー,マッキンゼー,,組織名
,,,,,,,ハーバード,ハーバード,,組織名
,,,,,,,SE,エスイー,,その他
